Asset ID,Street,City,Post Code,Building Number,Building Name,Sub-Building,Region,Country,Latitude,Longitude,Building ID,Property Identifier,Year,Scenario,Flood Defences,Return Period,River Flood Score,River Flood Severity Value (maximum depth (m)),River Flood Severity Lower Bound,River Flood Severity Upper Bound,River Flood Reliability,Surface Flood Score,Surface Flood Severity Value (maximum depth (m)),Surface Flood Severity Lower Bound,Surface Flood Severity Upper Bound,Surface Flood Reliability,Coastal Flood Score,Coastal Flood Severity Value (maximum depth (m)),Coastal Flood Severity Lower Bound,Coastal Flood Severity Upper Bound,Coastal Flood Reliability,Storms Score,Storms Severity Value (3s gust wind speed (km/h)),Storms Severity Lower Bound,Storms Severity Upper Bound,Storms Reliability,Storms Climate Reliability,Tropical Cyclones Score,Tropical Cyclones Severity Value (3s gust wind speed (km/h)),Tropical Cyclones Severity Lower Bound,Tropical Cyclones Severity Upper Bound,Tropical Cyclones Reliability,Tropical Cyclones Climate Reliability,Age Category,Age Category Flag,Asset Use,Asset Type,Structure Category,Flood Elevation Structure,Building Replacement Cost,Gross Premise Area Flag,Gross Premise Area,Floor Count,Currency,Unit of Length,River Flood RP Loss,Surface Flood RP Loss,Coastal Flood RP Loss,Storms RP Loss,Tropical Cyclones RP Loss,Unit/Flat Volume,Basement
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2020,ssp370,Undefended,1 in 50,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.27,1.24,1.29,,E,149.399994,143.099991,155.699997,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,16708.0,189.0,0.0,1.0,0.0
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2020,ssp370,Undefended,1 in 100,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.66,1.63,1.68,,E,157.5,151.199997,163.800003,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,19626.0,189.0,0.0,1.0,0.0
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2020,ssp370,Undefended,1 in 200,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,2.09,2.06,2.11,,E,164.699997,159.300003,171.899994,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,22187.0,189.0,0.0,1.0,0.0
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2020,ssp370,Undefended,1 in 500,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,2.69,2.67,2.72,,E,174.599991,168.300003,181.799988,0.83,0.83,,,,,,,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,25080.0,189.0,0.0,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2020,ssp370,Undefended,1 in 10,A,0.0,0.0,0.0,,B,0.0,0.0,0.0,,E,0.0,0.0,0.05,,E,128.699997,123.299995,134.099991,0.83,0.83,,,,,,,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,0.0,0.0,158.0,0.0,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2020,ssp370,Undefended,1 in 50,A,0.0,0.0,0.0,,B,0.0,0.0,0.0,,E,1.02,0.98,1.05,,E,149.399994,143.099991,155.699997,0.83,0.83,,,,,,,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,0.0,389657.0,776.0,0.0,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2020,ssp370,Undefended,1 in 100,A,0.0,0.0,0.0,,B,0.0,0.0,0.08,,E,1.61,1.58,1.65,,E,157.5,151.199997,163.800003,0.83,0.83,,,,,,,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,0.0,586342.0,776.0,0.0,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2020,ssp370,Undefended,1 in 200,A,0.0,0.0,0.0,,B,0.0,0.0,0.08,,E,2.25,2.21,2.29,,E,164.699997,159.300003,171.899994,0.83,0.83,,,,,,,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,0.0,772154.0,776.0,0.0,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2020,ssp370,Undefended,1 in 500,A,0.0,0.0,0.0,,B,0.09,0.09,0.1,,E,3.16,3.13,3.2,,E,174.599991,168.300003,181.799988,0.83,0.83,,,,,,,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,36495.0,985660.0,776.0,0.0,1.0,0.0
6,Marsh Rd,Holbeach Hurn,PE12 8JY,1.0,,,East Midlands (England),United Kingdom,52.8231572,0.0656962,4441069,100032161463,2020,ssp370,Undefended,1 in 10,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,C,0.0,0.0,0.0,,E,126.899994,121.5,132.300003,0.83,0.83,,,,,,,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,317381.0,A,233.8,2.0,GBP,Metres,0.0,0.0,0.0,40.0,0.0,1.0,0.0
